,Time (CET),Day-ahead Total Load Forecast [MW] - BZN|DE-LU,Actual Total Load [MW] - BZN|DE-LU,Imbalance [MW],Quarter
6695,11.03.2019 17:45 - 11.03.2019 18:00,64910.0,67705.0,2795.0,71
6696,11.03.2019 18:00 - 11.03.2019 18:15,65302.0,67406.0,2104.0,72
6697,11.03.2019 18:15 - 11.03.2019 18:30,65750.0,67895.0,2145.0,73
6698,11.03.2019 18:30 - 11.03.2019 18:45,66402.0,69214.0,2812.0,74
6699,11.03.2019 18:45 - 11.03.2019 19:00,66672.0,70083.0,3411.0,75
6700,11.03.2019 19:00 - 11.03.2019 19:15,66771.0,70752.0,3981.0,76
6701,11.03.2019 19:15 - 11.03.2019 19:30,66558.0,70405.0,3847.0,77
6702,11.03.2019 19:30 - 11.03.2019 19:45,66190.0,69430.0,3240.0,78
6703,11.03.2019 19:45 - 11.03.2019 20:00,65578.0,68416.0,2838.0,79
6704,11.03.2019 20:00 - 11.03.2019 20:15,64820.0,67442.0,2622.0,80
6705,11.03.2019 20:15 - 11.03.2019 20:30,64056.0,65973.0,1917.0,81
6706,11.03.2019 20:30 - 11.03.2019 20:45,63355.0,65027.0,1672.0,82
6707,11.03.2019 20:45 - 11.03.2019 21:00,62712.0,63659.0,947.0,83
6708,11.03.2019 21:00 - 11.03.2019 21:15,62193.0,62858.0,665.0,84
6709,11.03.2019 21:15 - 11.03.2019 21:30,61771.0,62430.0,659.0,85
6710,11.03.2019 21:30 - 11.03.2019 21:45,61557.0,61631.0,74.0,86
6711,11.03.2019 21:45 - 11.03.2019 22:00,60303.0,60676.0,373.0,87
6712,11.03.2019 22:00 - 11.03.2019 22:15,60174.0,60537.0,363.0,88
6713,11.03.2019 22:15 - 11.03.2019 22:30,59496.0,59403.0,-93.0,89
6714,11.03.2019 22:30 - 11.03.2019 22:45,58374.0,58712.0,338.0,90
6715,11.03.2019 22:45 - 11.03.2019 23:00,57244.0,57401.0,157.0,91
6716,11.03.2019 23:00 - 11.03.2019 23:15,55871.0,55695.0,-176.0,92
6717,11.03.2019 23:15 - 11.03.2019 23:30,54809.0,54682.0,-127.0,93
6718,11.03.2019 23:30 - 11.03.2019 23:45,53781.0,53946.0,165.0,94
6719,11.03.2019 23:45 - 12.03.2019 00:00,52910.0,53217.0,307.0,95
6720,12.03.2019 00:00 - 12.03.2019 00:15,52558.0,52203.0,-355.0,0
6721,12.03.2019 00:15 - 12.03.2019 00:30,52058.0,51161.0,-897.0,1
6722,12.03.2019 00:30 - 12.03.2019 00:45,51476.0,50171.0,-1305.0,2
6723,12.03.2019 00:45 - 12.03.2019 01:00,51017.0,49168.0,-1849.0,3
6724,12.03.2019 01:00 - 12.03.2019 01:15,50432.0,48918.0,-1514.0,4
6725,12.03.2019 01:15 - 12.03.2019 01:30,50171.0,48881.0,-1290.0,5
6726,12.03.2019 01:30 - 12.03.2019 01:45,49878.0,48368.0,-1510.0,6
6727,12.03.2019 01:45 - 12.03.2019 02:00,49719.0,48004.0,-1715.0,7
6728,12.03.2019 02:00 - 12.03.2019 02:15,49253.0,47426.0,-1827.0,8
6729,12.03.2019 02:15 - 12.03.2019 02:30,48993.0,47239.0,-1754.0,9
6730,12.03.2019 02:30 - 12.03.2019 02:45,48957.0,47368.0,-1589.0,10
6731,12.03.2019 02:45 - 12.03.2019 03:00,49170.0,47456.0,-1714.0,11
6732,12.03.2019 03:00 - 12.03.2019 03:15,49166.0,47851.0,-1315.0,12
6733,12.03.2019 03:15 - 12.03.2019 03:30,49324.0,47917.0,-1407.0,13
6734,12.03.2019 03:30 - 12.03.2019 03:45,49387.0,48192.0,-1195.0,14
6735,12.03.2019 03:45 - 12.03.2019 04:00,49713.0,48329.0,-1384.0,15
6736,12.03.2019 04:00 - 12.03.2019 04:15,50093.0,48816.0,-1277.0,16
6737,12.03.2019 04:15 - 12.03.2019 04:30,50562.0,49148.0,-1414.0,17
6738,12.03.2019 04:30 - 12.03.2019 04:45,50992.0,49932.0,-1060.0,18
6739,12.03.2019 04:45 - 12.03.2019 05:00,51464.0,50278.0,-1186.0,19
6740,12.03.2019 05:00 - 12.03.2019 05:15,52615.0,51439.0,-1176.0,20
6741,12.03.2019 05:15 - 12.03.2019 05:30,53391.0,51816.0,-1575.0,21
6742,12.03.2019 05:30 - 12.03.2019 05:45,54534.0,52803.0,-1731.0,22
6743,12.03.2019 05:45 - 12.03.2019 06:00,55788.0,54470.0,-1318.0,23
6744,12.03.2019 06:00 - 12.03.2019 06:15,58255.0,57348.0,-907.0,24
6745,12.03.2019 06:15 - 12.03.2019 06:30,60423.0,59834.0,-589.0,25
6746,12.03.2019 06:30 - 12.03.2019 06:45,61864.0,61088.0,-776.0,26
6747,12.03.2019 06:45 - 12.03.2019 07:00,63055.0,62217.0,-838.0,27
6748,12.03.2019 07:00 - 12.03.2019 07:15,64494.0,64036.0,-458.0,28
6749,12.03.2019 07:15 - 12.03.2019 07:30,65586.0,64795.0,-791.0,29
6750,12.03.2019 07:30 - 12.03.2019 07:45,66602.0,65153.0,-1449.0,30
6751,12.03.2019 07:45 - 12.03.2019 08:00,67295.0,66028.0,-1267.0,31
6752,12.03.2019 08:00 - 12.03.2019 08:15,68270.0,66303.0,-1967.0,32
6753,12.03.2019 08:15 - 12.03.2019 08:30,68392.0,66947.0,-1445.0,33
6754,12.03.2019 08:30 - 12.03.2019 08:45,68806.0,67336.0,-1470.0,34
6755,12.03.2019 08:45 - 12.03.2019 09:00,68883.0,67579.0,-1304.0,35
6756,12.03.2019 09:00 - 12.03.2019 09:15,68680.0,67641.0,-1039.0,36
6757,12.03.2019 09:15 - 12.03.2019 09:30,68872.0,67444.0,-1428.0,37
6758,12.03.2019 09:30 - 12.03.2019 09:45,69179.0,67565.0,-1614.0,38
6759,12.03.2019 09:45 - 12.03.2019 10:00,69609.0,68303.0,-1306.0,39
6760,12.03.2019 10:00 - 12.03.2019 10:15,69889.0,68667.0,-1222.0,40
6761,12.03.2019 10:15 - 12.03.2019 10:30,70030.0,68213.0,-1817.0,41
6762,12.03.2019 10:30 - 12.03.2019 10:45,70109.0,68599.0,-1510.0,42
6763,12.03.2019 10:45 - 12.03.2019 11:00,70246.0,68814.0,-1432.0,43
6764,12.03.2019 11:00 - 12.03.2019 11:15,70692.0,68933.0,-1759.0,44
6765,12.03.2019 11:15 - 12.03.2019 11:30,71005.0,69277.0,-1728.0,45
6766,12.03.2019 11:30 - 12.03.2019 11:45,71325.0,69659.0,-1666.0,46
6767,12.03.2019 11:45 - 12.03.2019 12:00,70759.0,70428.0,-331.0,47
6768,12.03.2019 12:00 - 12.03.2019 12:15,70459.0,69596.0,-863.0,48
6769,12.03.2019 12:15 - 12.03.2019 12:30,70424.0,69561.0,-863.0,49
6770,12.03.2019 12:30 - 12.03.2019 12:45,70289.0,69565.0,-724.0,50
6771,12.03.2019 12:45 - 12.03.2019 13:00,70456.0,69375.0,-1081.0,51
6772,12.03.2019 13:00 - 12.03.2019 13:15,70338.0,70374.0,36.0,52
6773,12.03.2019 13:15 - 12.03.2019 13:30,70143.0,70603.0,460.0,53
6774,12.03.2019 13:30 - 12.03.2019 13:45,69914.0,70021.0,107.0,54
6775,12.03.2019 13:45 - 12.03.2019 14:00,69108.0,69843.0,735.0,55
6776,12.03.2019 14:00 - 12.03.2019 14:15,68892.0,69610.0,718.0,56
6777,12.03.2019 14:15 - 12.03.2019 14:30,68780.0,68730.0,-50.0,57
6778,12.03.2019 14:30 - 12.03.2019 14:45,68716.0,68729.0,13.0,58
6779,12.03.2019 14:45 - 12.03.2019 15:00,68821.0,68805.0,-16.0,59
6780,12.03.2019 15:00 - 12.03.2019 15:15,68689.0,68689.0,0.0,60
6781,12.03.2019 15:15 - 12.03.2019 15:30,68171.0,68478.0,307.0,61
6782,12.03.2019 15:30 - 12.03.2019 15:45,67745.0,68447.0,702.0,62
6783,12.03.2019 15:45 - 12.03.2019 16:00,67297.0,68202.0,905.0,63
6784,12.03.2019 16:00 - 12.03.2019 16:15,67196.0,67714.0,518.0,64
6785,12.03.2019 16:15 - 12.03.2019 16:30,66902.0,66952.0,50.0,65
6786,12.03.2019 16:30 - 12.03.2019 16:45,66818.0,66443.0,-375.0,66
6787,12.03.2019 16:45 - 12.03.2019 17:00,66755.0,66321.0,-434.0,67
6788,12.03.2019 17:00 - 12.03.2019 17:15,66915.0,66594.0,-321.0,68
6789,12.03.2019 17:15 - 12.03.2019 17:30,66991.0,66892.0,-99.0,69
6790,12.03.2019 17:30 - 12.03.2019 17:45,67501.0,67415.0,-86.0,70
6791,12.03.2019 17:45 - 12.03.2019 18:00,67749.0,67941.0,192.0,71
6792,12.03.2019 18:00 - 12.03.2019 18:15,68073.0,68725.0,652.0,72
6793,12.03.2019 18:15 - 12.03.2019 18:30,68606.0,69411.0,805.0,73
6794,12.03.2019 18:30 - 12.03.2019 18:45,69145.0,70641.0,1496.0,74
6795,12.03.2019 18:45 - 12.03.2019 19:00,69363.0,70996.0,1633.0,75
6796,12.03.2019 19:00 - 12.03.2019 19:15,69427.0,71741.0,2314.0,76
6797,12.03.2019 19:15 - 12.03.2019 19:30,69008.0,71540.0,2532.0,77
6798,12.03.2019 19:30 - 12.03.2019 19:45,68472.0,71100.0,2628.0,78
6799,12.03.2019 19:45 - 12.03.2019 20:00,67674.0,70668.0,2994.0,79
6800,12.03.2019 20:00 - 12.03.2019 20:15,66656.0,69057.0,2401.0,80
6801,12.03.2019 20:15 - 12.03.2019 20:30,65280.0,68462.0,3182.0,81
6802,12.03.2019 20:30 - 12.03.2019 20:45,64424.0,67577.0,3153.0,82
6803,12.03.2019 20:45 - 12.03.2019 21:00,63754.0,66606.0,2852.0,83
6804,12.03.2019 21:00 - 12.03.2019 21:15,62832.0,65011.0,2179.0,84
6805,12.03.2019 21:15 - 12.03.2019 21:30,62158.0,63859.0,1701.0,85
6806,12.03.2019 21:30 - 12.03.2019 21:45,61481.0,63145.0,1664.0,86
6807,12.03.2019 21:45 - 12.03.2019 22:00,60943.0,62276.0,1333.0,87
6808,12.03.2019 22:00 - 12.03.2019 22:15,60974.0,62298.0,1324.0,88
6809,12.03.2019 22:15 - 12.03.2019 22:30,60297.0,61109.0,812.0,89
6810,12.03.2019 22:30 - 12.03.2019 22:45,59201.0,60113.0,912.0,90
6811,12.03.2019 22:45 - 12.03.2019 23:00,57918.0,58606.0,688.0,91
6812,12.03.2019 23:00 - 12.03.2019 23:15,56455.0,57626.0,1171.0,92
6813,12.03.2019 23:15 - 12.03.2019 23:30,55334.0,56888.0,1554.0,93
6814,12.03.2019 23:30 - 12.03.2019 23:45,54339.0,55714.0,1375.0,94
6815,12.03.2019 23:45 - 13.03.2019 00:00,53506.0,54879.0,1373.0,95
6816,13.03.2019 00:00 - 13.03.2019 00:15,51174.0,53269.0,2095.0,0
6817,13.03.2019 00:15 - 13.03.2019 00:30,50446.0,52633.0,2187.0,1
6818,13.03.2019 00:30 - 13.03.2019 00:45,49871.0,52005.0,2134.0,2
6819,13.03.2019 00:45 - 13.03.2019 01:00,49384.0,51570.0,2186.0,3
6820,13.03.2019 01:00 - 13.03.2019 01:15,48916.0,51500.0,2584.0,4
6821,13.03.2019 01:15 - 13.03.2019 01:30,48569.0,50798.0,2229.0,5
6822,13.03.2019 01:30 - 13.03.2019 01:45,48274.0,51033.0,2759.0,6
6823,13.03.2019 01:45 - 13.03.2019 02:00,47919.0,50760.0,2841.0,7
6824,13.03.2019 02:00 - 13.03.2019 02:15,47676.0,50582.0,2906.0,8
6825,13.03.2019 02:15 - 13.03.2019 02:30,47674.0,50453.0,2779.0,9
6826,13.03.2019 02:30 - 13.03.2019 02:45,47683.0,49849.0,2166.0,10
6827,13.03.2019 02:45 - 13.03.2019 03:00,47799.0,49986.0,2187.0,11
6828,13.03.2019 03:00 - 13.03.2019 03:15,47910.0,51122.0,3212.0,12
6829,13.03.2019 03:15 - 13.03.2019 03:30,48096.0,51614.0,3518.0,13
6830,13.03.2019 03:30 - 13.03.2019 03:45,48303.0,51945.0,3642.0,14
6831,13.03.2019 03:45 - 13.03.2019 04:00,48577.0,51762.0,3185.0,15
6832,13.03.2019 04:00 - 13.03.2019 04:15,48940.0,52289.0,3349.0,16
6833,13.03.2019 04:15 - 13.03.2019 04:30,49482.0,52329.0,2847.0,17
6834,13.03.2019 04:30 - 13.03.2019 04:45,49938.0,53361.0,3423.0,18
6835,13.03.2019 04:45 - 13.03.2019 05:00,50522.0,54104.0,3582.0,19
6836,13.03.2019 05:00 - 13.03.2019 05:15,51763.0,55485.0,3722.0,20
6837,13.03.2019 05:15 - 13.03.2019 05:30,52423.0,55954.0,3531.0,21
6838,13.03.2019 05:30 - 13.03.2019 05:45,53468.0,57040.0,3572.0,22
6839,13.03.2019 05:45 - 13.03.2019 06:00,54904.0,58688.0,3784.0,23
6840,13.03.2019 06:00 - 13.03.2019 06:15,57475.0,60739.0,3264.0,24
6841,13.03.2019 06:15 - 13.03.2019 06:30,59544.0,62928.0,3384.0,25
6842,13.03.2019 06:30 - 13.03.2019 06:45,61379.0,64569.0,3190.0,26
6843,13.03.2019 06:45 - 13.03.2019 07:00,62677.0,65764.0,3087.0,27
6844,13.03.2019 07:00 - 13.03.2019 07:15,64432.0,67245.0,2813.0,28
6845,13.03.2019 07:15 - 13.03.2019 07:30,65394.0,68049.0,2655.0,29
6846,13.03.2019 07:30 - 13.03.2019 07:45,66190.0,68041.0,1851.0,30
6847,13.03.2019 07:45 - 13.03.2019 08:00,66958.0,68903.0,1945.0,31
6848,13.03.2019 08:00 - 13.03.2019 08:15,67864.0,69473.0,1609.0,32
6849,13.03.2019 08:15 - 13.03.2019 08:30,68263.0,70271.0,2008.0,33
6850,13.03.2019 08:30 - 13.03.2019 08:45,68284.0,70964.0,2680.0,34
6851,13.03.2019 08:45 - 13.03.2019 09:00,68478.0,71283.0,2805.0,35
6852,13.03.2019 09:00 - 13.03.2019 09:15,68124.0,71650.0,3526.0,36
6853,13.03.2019 09:15 - 13.03.2019 09:30,68341.0,72926.0,4585.0,37
6854,13.03.2019 09:30 - 13.03.2019 09:45,68721.0,73389.0,4668.0,38
6855,13.03.2019 09:45 - 13.03.2019 10:00,69266.0,74061.0,4795.0,39
6856,13.03.2019 10:00 - 13.03.2019 10:15,69590.0,74090.0,4500.0,40
6857,13.03.2019 10:15 - 13.03.2019 10:30,69873.0,73982.0,4109.0,41
6858,13.03.2019 10:30 - 13.03.2019 10:45,70156.0,74560.0,4404.0,42
6859,13.03.2019 10:45 - 13.03.2019 11:00,70608.0,74365.0,3757.0,43
6860,13.03.2019 11:00 - 13.03.2019 11:15,71026.0,73110.0,2084.0,44
6861,13.03.2019 11:15 - 13.03.2019 11:30,71332.0,73389.0,2057.0,45
6862,13.03.2019 11:30 - 13.03.2019 11:45,71482.0,73340.0,1858.0,46
6863,13.03.2019 11:45 - 13.03.2019 12:00,71239.0,73423.0,2184.0,47
6864,13.03.2019 12:00 - 13.03.2019 12:15,70825.0,73220.0,2395.0,48
6865,13.03.2019 12:15 - 13.03.2019 12:30,70505.0,72943.0,2438.0,49
6866,13.03.2019 12:30 - 13.03.2019 12:45,70382.0,72391.0,2009.0,50
6867,13.03.2019 12:45 - 13.03.2019 13:00,70701.0,72623.0,1922.0,51
6868,13.03.2019 13:00 - 13.03.2019 13:15,70427.0,73092.0,2665.0,52
6869,13.03.2019 13:15 - 13.03.2019 13:30,70130.0,72940.0,2810.0,53
6870,13.03.2019 13:30 - 13.03.2019 13:45,69987.0,72413.0,2426.0,54
6871,13.03.2019 13:45 - 13.03.2019 14:00,69323.0,71757.0,2434.0,55
6872,13.03.2019 14:00 - 13.03.2019 14:15,69285.0,71875.0,2590.0,56
6873,13.03.2019 14:15 - 13.03.2019 14:30,69126.0,72209.0,3083.0,57
6874,13.03.2019 14:30 - 13.03.2019 14:45,69176.0,71961.0,2785.0,58
6875,13.03.2019 14:45 - 13.03.2019 15:00,69257.0,71364.0,2107.0,59
6876,13.03.2019 15:00 - 13.03.2019 15:15,68780.0,71441.0,2661.0,60
6877,13.03.2019 15:15 - 13.03.2019 15:30,68380.0,70906.0,2526.0,61
6878,13.03.2019 15:30 - 13.03.2019 15:45,67910.0,70640.0,2730.0,62
6879,13.03.2019 15:45 - 13.03.2019 16:00,67483.0,69901.0,2418.0,63
6880,13.03.2019 16:00 - 13.03.2019 16:15,67266.0,69715.0,2449.0,64
6881,13.03.2019 16:15 - 13.03.2019 16:30,66752.0,69063.0,2311.0,65
6882,13.03.2019 16:30 - 13.03.2019 16:45,66359.0,68651.0,2292.0,66
6883,13.03.2019 16:45 - 13.03.2019 17:00,66638.0,68788.0,2150.0,67
6884,13.03.2019 17:00 - 13.03.2019 17:15,66759.0,69031.0,2272.0,68
6885,13.03.2019 17:15 - 13.03.2019 17:30,66835.0,69144.0,2309.0,69
6886,13.03.2019 17:30 - 13.03.2019 17:45,67387.0,69800.0,2413.0,70
6887,13.03.2019 17:45 - 13.03.2019 18:00,67557.0,70299.0,2742.0,71
6888,13.03.2019 18:00 - 13.03.2019 18:15,67889.0,70490.0,2601.0,72
6889,13.03.2019 18:15 - 13.03.2019 18:30,68521.0,70872.0,2351.0,73
6890,13.03.2019 18:30 - 13.03.2019 18:45,69160.0,71926.0,2766.0,74
6891,13.03.2019 18:45 - 13.03.2019 19:00,69442.0,72508.0,3066.0,75
6892,13.03.2019 19:00 - 13.03.2019 19:15,69362.0,72488.0,3126.0,76
6893,13.03.2019 19:15 - 13.03.2019 19:30,68957.0,71921.0,2964.0,77
6894,13.03.2019 19:30 - 13.03.2019 19:45,68227.0,71496.0,3269.0,78
6895,13.03.2019 19:45 - 13.03.2019 20:00,67602.0,70268.0,2666.0,79
6896,13.03.2019 20:00 - 13.03.2019 20:15,66477.0,69747.0,3270.0,80
6897,13.03.2019 20:15 - 13.03.2019 20:30,64936.0,68485.0,3549.0,81
6898,13.03.2019 20:30 - 13.03.2019 20:45,64084.0,67364.0,3280.0,82
6899,13.03.2019 20:45 - 13.03.2019 21:00,63288.0,66722.0,3434.0,83
6900,13.03.2019 21:00 - 13.03.2019 21:15,62321.0,66024.0,3703.0,84
6901,13.03.2019 21:15 - 13.03.2019 21:30,61577.0,65001.0,3424.0,85
6902,13.03.2019 21:30 - 13.03.2019 21:45,60911.0,64040.0,3129.0,86
6903,13.03.2019 21:45 - 13.03.2019 22:00,60415.0,63127.0,2712.0,87
6904,13.03.2019 22:00 - 13.03.2019 22:15,60248.0,63156.0,2908.0,88
6905,13.03.2019 22:15 - 13.03.2019 22:30,59502.0,62235.0,2733.0,89
6906,13.03.2019 22:30 - 13.03.2019 22:45,58390.0,60890.0,2500.0,90
6907,13.03.2019 22:45 - 13.03.2019 23:00,57139.0,59727.0,2588.0,91
6908,13.03.2019 23:00 - 13.03.2019 23:15,55617.0,58998.0,3381.0,92
6909,13.03.2019 23:15 - 13.03.2019 23:30,54564.0,57999.0,3435.0,93
6910,13.03.2019 23:30 - 13.03.2019 23:45,53626.0,57072.0,3446.0,94
6911,13.03.2019 23:45 - 14.03.2019 00:00,52816.0,56024.0,3208.0,95
6912,14.03.2019 00:00 - 14.03.2019 00:15,52979.0,55511.0,2532.0,0
6913,14.03.2019 00:15 - 14.03.2019 00:30,52187.0,54752.0,2565.0,1
6914,14.03.2019 00:30 - 14.03.2019 00:45,51609.0,53999.0,2390.0,2
6915,14.03.2019 00:45 - 14.03.2019 01:00,51109.0,53403.0,2294.0,3
6916,14.03.2019 01:00 - 14.03.2019 01:15,50425.0,52112.0,1687.0,4
6917,14.03.2019 01:15 - 14.03.2019 01:30,50069.0,51808.0,1739.0,5
6918,14.03.2019 01:30 - 14.03.2019 01:45,49852.0,51951.0,2099.0,6
6919,14.03.2019 01:45 - 14.03.2019 02:00,49551.0,51603.0,2052.0,7
6920,14.03.2019 02:00 - 14.03.2019 02:15,49240.0,51285.0,2045.0,8
6921,14.03.2019 02:15 - 14.03.2019 02:30,49131.0,50848.0,1717.0,9
6922,14.03.2019 02:30 - 14.03.2019 02:45,49071.0,50747.0,1676.0,10
6923,14.03.2019 02:45 - 14.03.2019 03:00,49207.0,50919.0,1712.0,11
6924,14.03.2019 03:00 - 14.03.2019 03:15,49303.0,51244.0,1941.0,12
6925,14.03.2019 03:15 - 14.03.2019 03:30,49339.0,50954.0,1615.0,13
6926,14.03.2019 03:30 - 14.03.2019 03:45,49478.0,50961.0,1483.0,14
6927,14.03.2019 03:45 - 14.03.2019 04:00,49647.0,51269.0,1622.0,15
6928,14.03.2019 04:00 - 14.03.2019 04:15,50071.0,51221.0,1150.0,16
6929,14.03.2019 04:15 - 14.03.2019 04:30,50435.0,51771.0,1336.0,17
6930,14.03.2019 04:30 - 14.03.2019 04:45,50939.0,52544.0,1605.0,18
6931,14.03.2019 04:45 - 14.03.2019 05:00,51678.0,52851.0,1173.0,19
6932,14.03.2019 05:00 - 14.03.2019 05:15,52929.0,53872.0,943.0,20
6933,14.03.2019 05:15 - 14.03.2019 05:30,53508.0,54704.0,1196.0,21
6934,14.03.2019 05:30 - 14.03.2019 05:45,54624.0,56019.0,1395.0,22
6935,14.03.2019 05:45 - 14.03.2019 06:00,56057.0,57153.0,1096.0,23
6936,14.03.2019 06:00 - 14.03.2019 06:15,58666.0,59488.0,822.0,24
6937,14.03.2019 06:15 - 14.03.2019 06:30,60870.0,61932.0,1062.0,25
6938,14.03.2019 06:30 - 14.03.2019 06:45,62615.0,63370.0,755.0,26
6939,14.03.2019 06:45 - 14.03.2019 07:00,63898.0,64842.0,944.0,27
6940,14.03.2019 07:00 - 14.03.2019 07:15,65840.0,65889.0,49.0,28
6941,14.03.2019 07:15 - 14.03.2019 07:30,66804.0,66739.0,-65.0,29
6942,14.03.2019 07:30 - 14.03.2019 07:45,65817.0,67161.0,1344.0,30
6943,14.03.2019 07:45 - 14.03.2019 08:00,66910.0,68011.0,1101.0,31
6944,14.03.2019 08:00 - 14.03.2019 08:15,67683.0,69008.0,1325.0,32
6945,14.03.2019 08:15 - 14.03.2019 08:30,67876.0,69603.0,1727.0,33
6946,14.03.2019 08:30 - 14.03.2019 08:45,68318.0,69885.0,1567.0,34
6947,14.03.2019 08:45 - 14.03.2019 09:00,68517.0,70588.0,2071.0,35
6948,14.03.2019 09:00 - 14.03.2019 09:15,68223.0,71004.0,2781.0,36
6949,14.03.2019 09:15 - 14.03.2019 09:30,68566.0,71527.0,2961.0,37
6950,14.03.2019 09:30 - 14.03.2019 09:45,68877.0,72456.0,3579.0,38
6951,14.03.2019 09:45 - 14.03.2019 10:00,69425.0,72935.0,3510.0,39
6952,14.03.2019 10:00 - 14.03.2019 10:15,69564.0,73240.0,3676.0,40
6953,14.03.2019 10:15 - 14.03.2019 10:30,69830.0,73407.0,3577.0,41
6954,14.03.2019 10:30 - 14.03.2019 10:45,70019.0,73420.0,3401.0,42
6955,14.03.2019 10:45 - 14.03.2019 11:00,70421.0,73480.0,3059.0,43
6956,14.03.2019 11:00 - 14.03.2019 11:15,70583.0,73847.0,3264.0,44
6957,14.03.2019 11:15 - 14.03.2019 11:30,70793.0,74311.0,3518.0,45
6958,14.03.2019 11:30 - 14.03.2019 11:45,70902.0,74519.0,3617.0,46
6959,14.03.2019 11:45 - 14.03.2019 12:00,70579.0,74730.0,4151.0,47
6960,14.03.2019 12:00 - 14.03.2019 12:15,70274.0,74671.0,4397.0,48
6961,14.03.2019 12:15 - 14.03.2019 12:30,70473.0,74650.0,4177.0,49
6962,14.03.2019 12:30 - 14.03.2019 12:45,70160.0,74445.0,4285.0,50
6963,14.03.2019 12:45 - 14.03.2019 13:00,70342.0,74505.0,4163.0,51
6964,14.03.2019 13:00 - 14.03.2019 13:15,70403.0,74357.0,3954.0,52
6965,14.03.2019 13:15 - 14.03.2019 13:30,70375.0,74175.0,3800.0,53
6966,14.03.2019 13:30 - 14.03.2019 13:45,69886.0,74160.0,4274.0,54
6967,14.03.2019 13:45 - 14.03.2019 14:00,69374.0,73485.0,4111.0,55
6968,14.03.2019 14:00 - 14.03.2019 14:15,68868.0,72742.0,3874.0,56
6969,14.03.2019 14:15 - 14.03.2019 14:30,68526.0,72432.0,3906.0,57
6970,14.03.2019 14:30 - 14.03.2019 14:45,68306.0,72146.0,3840.0,58
6971,14.03.2019 14:45 - 14.03.2019 15:00,68544.0,71952.0,3408.0,59
6972,14.03.2019 15:00 - 14.03.2019 15:15,68354.0,71805.0,3451.0,60
6973,14.03.2019 15:15 - 14.03.2019 15:30,67781.0,71340.0,3559.0,61
6974,14.03.2019 15:30 - 14.03.2019 15:45,67357.0,71202.0,3845.0,62
6975,14.03.2019 15:45 - 14.03.2019 16:00,67058.0,70756.0,3698.0,63
6976,14.03.2019 16:00 - 14.03.2019 16:15,66887.0,70172.0,3285.0,64
6977,14.03.2019 16:15 - 14.03.2019 16:30,66863.0,70113.0,3250.0,65
6978,14.03.2019 16:30 - 14.03.2019 16:45,66717.0,69914.0,3197.0,66
6979,14.03.2019 16:45 - 14.03.2019 17:00,66440.0,69595.0,3155.0,67
6980,14.03.2019 17:00 - 14.03.2019 17:15,66794.0,69939.0,3145.0,68
6981,14.03.2019 17:15 - 14.03.2019 17:30,66938.0,70093.0,3155.0,69
6982,14.03.2019 17:30 - 14.03.2019 17:45,67463.0,70533.0,3070.0,70
6983,14.03.2019 17:45 - 14.03.2019 18:00,67685.0,70689.0,3004.0,71
6984,14.03.2019 18:00 - 14.03.2019 18:15,67995.0,70674.0,2679.0,72
6985,14.03.2019 18:15 - 14.03.2019 18:30,68619.0,71053.0,2434.0,73
6986,14.03.2019 18:30 - 14.03.2019 18:45,69365.0,71970.0,2605.0,74
6987,14.03.2019 18:45 - 14.03.2019 19:00,69703.0,72458.0,2755.0,75
6988,14.03.2019 19:00 - 14.03.2019 19:15,69719.0,72406.0,2687.0,76
6989,14.03.2019 19:15 - 14.03.2019 19:30,69398.0,71825.0,2427.0,77
6990,14.03.2019 19:30 - 14.03.2019 19:45,68828.0,71207.0,2379.0,78
6991,14.03.2019 19:45 - 14.03.2019 20:00,68245.0,70030.0,1785.0,79
6992,14.03.2019 20:00 - 14.03.2019 20:15,67362.0,69066.0,1704.0,80
6993,14.03.2019 20:15 - 14.03.2019 20:30,65624.0,68453.0,2829.0,81
6994,14.03.2019 20:30 - 14.03.2019 20:45,64836.0,67299.0,2463.0,82
6995,14.03.2019 20:45 - 14.03.2019 21:00,64139.0,66349.0,2210.0,83
6996,14.03.2019 21:00 - 14.03.2019 21:15,63088.0,65867.0,2779.0,84
6997,14.03.2019 21:15 - 14.03.2019 21:30,62369.0,64707.0,2338.0,85
6998,14.03.2019 21:30 - 14.03.2019 21:45,62081.0,63599.0,1518.0,86
6999,14.03.2019 21:45 - 14.03.2019 22:00,61264.0,63210.0,1946.0,87
7000,14.03.2019 22:00 - 14.03.2019 22:15,60973.0,63384.0,2411.0,88
7001,14.03.2019 22:15 - 14.03.2019 22:30,60181.0,62296.0,2115.0,89
7002,14.03.2019 22:30 - 14.03.2019 22:45,58970.0,61347.0,2377.0,90
7003,14.03.2019 22:45 - 14.03.2019 23:00,57578.0,60403.0,2825.0,91
7004,14.03.2019 23:00 - 14.03.2019 23:15,56267.0,59067.0,2800.0,92
7005,14.03.2019 23:15 - 14.03.2019 23:30,55213.0,58245.0,3032.0,93
7006,14.03.2019 23:30 - 14.03.2019 23:45,54182.0,57007.0,2825.0,94
7007,14.03.2019 23:45 - 15.03.2019 00:00,53175.0,56319.0,3144.0,95
7008,15.03.2019 00:00 - 15.03.2019 00:15,52438.0,55252.0,2814.0,0
7009,15.03.2019 00:15 - 15.03.2019 00:30,51384.0,54539.0,3155.0,1
7010,15.03.2019 00:30 - 15.03.2019 00:45,50850.0,54009.0,3159.0,2
