"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Solar  [MW] Intraday / BZN|DE-AT-LU","Generation - Solar  [MW] Current / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-AT-LU"
"01.01.2018 22:45 - 01.01.2018 23:00","0","0","","1610","6692","1842","14743","5567","4798"
"01.01.2018 23:00 - 01.01.2018 23:15","0","0","","1577","6577","1835","14826","5521","4893"
"01.01.2018 23:15 - 01.01.2018 23:30","0","0","","1550","6472","1815","14835","5428","4845"
"01.01.2018 23:30 - 01.01.2018 23:45","0","0","","1530","6374","1799","14844","5330","4915"
"01.01.2018 23:45 - 02.01.2018 00:00","0","0","","1505","6293","1738","14865","5233","4812"
"02.01.2018 00:00 - 02.01.2018 00:15","0","0","","1564","6553","1646","13622","5308","4668"
"02.01.2018 00:15 - 02.01.2018 00:30","0","0","","1553","6370","1600","13618","5215","4817"
"02.01.2018 00:30 - 02.01.2018 00:45","0","0","","1547","6117","1540","13617","5124","4861"
"02.01.2018 00:45 - 02.01.2018 01:00","0","0","","1547","5904","1476","13593","5033","4806"
"02.01.2018 01:00 - 02.01.2018 01:15","0","0","","1549","5513","1391","13535","5934","4992"
"02.01.2018 01:15 - 02.01.2018 01:30","0","0","","1547","5188","1203","13494","6249","5246"
"02.01.2018 01:30 - 02.01.2018 01:45","0","0","","1546","5122","1232","13447","6262","5284"
"02.01.2018 01:45 - 02.01.2018 02:00","0","0","","1548","4972","1223","13390","6474","5506"
"02.01.2018 02:00 - 02.01.2018 02:15","0","0","","1547","4947","1244","13462","6564","5597"
"02.01.2018 02:15 - 02.01.2018 02:30","0","0","","1540","4880","1339","13493","6539","5599"
"02.01.2018 02:30 - 02.01.2018 02:45","0","0","","1535","4828","1354","13526","6471","5527"
"02.01.2018 02:45 - 02.01.2018 03:00","0","0","","1531","4781","1352","13558","6603","5665"
"02.01.2018 03:00 - 02.01.2018 03:15","0","0","","1533","4657","1348","13561","6613","5679"
"02.01.2018 03:15 - 02.01.2018 03:30","0","0","","1548","4690","1393","13547","6639","5705"
